Pipe_Pres,Ambient_Pres,Pipe_Temp,Chip_Temp,Current_nPressure,Set_nPressure,Pump_Output,
1000.4,1004.5,26.7,37.8,4.1,150,100,
987.7,1004.5,26.7,37.8,16.8,150,100,
973.7,1004.5,26.7,37.8,29.6,150,100,
961.8,1004.5,26.7,37.8,42.7,150,100,
955,1004.5,26.7,37.7,49.5,150,100,
947,1004.5,26.7,37.7,57.4,150,100,
938.7,1004.5,26.7,37.7,65.9,150,100,
928,1004.5,26.7,37.6,76.5,150,100,
919.6,1004.5,26.7,37.6,84.9,150,100,
921,1004.5,26.7,37.6,83.5,150,100,
902,1004.5,26.7,37.5,94,150,100,
903.8,1004.5,26.7,37.5,100.7,150,100,
893.8,1004.5,26.8,37.4,110.7,150,100,
886.1,1004.6,26.7,37.4,118.4,150,100,
878,1004.6,26.8,37.3,117,150,100,
871.8,1004.6,26.8,37.3,132.7,150,100,
872.6,1004.6,26.7,37.3,131.9,150,100,
864,1004.6,26.8,37.2,140.5,150,100,
859.5,1004.6,26.8,37.2,147.5,150,100,
850.7,1004.6,26.7,37.1,153.8,150,100,
844,1004.6,26.7,37.1,160.5,150,100,
846.5,1004.6,26.8,37.1,158,150,100,
831.3,1004.6,26.7,37,166.4,150,100,
834.2,1004.6,26.8,36.9,170.3,150,100,
826,1004.6,26.7,36.9,178.6,150,100,
819.7,1004.6,26.7,36.9,184.8,150,96.8,
818.9,1004.6,26.8,36.8,185.8,150,87.8,
817.2,1004.6,26.8,36.8,187.3,150,77.5,
816,1004.6,26.8,36.8,188.6,150,71.3,
817.3,1004.6,26.7,36.7,187.2,150,65.5,
817.6,1004.6,26.7,36.7,187.4,150,58.8,
819.8,1004.6,26.7,36.6,184.7,150,55.5,
821.9,1004.6,26.8,36.6,182.7,150,54,
820.6,1004.6,26.8,36.6,183.9,150,48.8,
825.4,1004.6,26.8,36.6,181.9,150,47.5,
826.7,1004.6,26.7,36.6,177.8,150,46.8,
828.2,1004.6,26.8,36.6,176.4,150,44.8,
829.7,1004.6,26.8,36.6,174.8,150,48.8,
830.7,1004.6,26.7,36.6,175.5,150,43,
832.2,1004.6,26.8,36.5,172.4,150,45.5,
833.5,1004.6,26.8,36.5,171.1,150,43.8,
834.5,1004.6,26.7,36.5,170,150,44.5,
836.9,1004.6,26.7,36.5,168.8,150,44,
838,1004.6,26.8,36.5,166.6,150,45.5,
838.5,1004.6,26.8,36.5,166,150,48.3,
840.2,1004.6,26.7,36.5,164.4,150,46.5,
841.1,1004.6,26.7,36.5,163.7,150,46.3,
842.2,1004.6,26.8,36.5,162.4,150,49.5,
843.3,1004.6,26.7,36.5,161.3,150,46,
844.9,1004.6,26.8,36.5,159.6,150,50.3,
844.9,1004.6,26.8,36.5,158.7,150,50.8,
846.2,1004.6,26.7,36.5,158.4,150,45.8,
847.2,1004.6,26.8,36.5,157.4,150,47,
848,1004.6,26.8,36.5,156.5,150,52,
847.3,1004.6,26.7,36.4,157.7,150,48.3,
848.4,1004.6,26.7,36.5,156.1,150,51.3,
848.4,1004.6,26.8,36.5,156.1,150,49.5,
849,1004.6,26.7,36.5,155.6,150,50.3,
851,1004.6,26.7,36.4,154.1,150,53.3,
850.9,1004.6,26.8,36.4,153.7,150,49,
850.9,1004.6,26.8,36.4,153.6,150,52.5,
850.8,1004.6,26.7,36.5,153.8,150,51.8,
850.9,1004.6,26.8,36.4,153,150,53.5,
850.2,1004.6,26.7,36.4,154.3,150,53,
850.2,1004.6,26.7,36.4,154.3,150,46.8,
850.9,1004.6,26.8,36.4,153.7,150,50.3,
852.6,1004.6,26.7,36.4,153.1,150,50.8,
851.7,1004.6,26.8,36.4,152.9,150,50,
852.3,1004.6,26.7,36.4,152.3,150,51.5,
851.8,1004.6,26.8,36.4,152.7,150,50.5,
851.8,1004.6,26.7,36.4,150.5,150,56.3,
851.9,1004.6,26.8,36.4,152.7,150,48.3,
852.7,1004.6,26.8,36.4,151.9,150,51.5,
854.3,1004.6,26.7,36.4,150.3,150,55.8,
851.9,1004.6,26.8,36.4,150.4,150,55,
853.2,1004.6,26.7,36.4,151.4,150,49.3,
853.8,1004.6,26.7,36.4,150.7,150,54.8,
854,1004.6,26.7,36.4,150.6,150,54,
852.6,1004.6,26.7,36.3,150.3,150,54.8,
851.6,1004.6,26.7,36.3,152.9,150,51.3,
851.1,1004.6,26.8,36.3,153.5,150,53.8,
853.3,1004.6,26.7,36.3,151.3,150,51.8,
852.6,1004.6,26.7,36.3,151.3,150,51.5,
852.8,1004.6,26.8,36.2,151.7,150,53.8,
852.9,1004.6,26.7,36.2,151.7,150,47.8,
854.2,1004.6,26.7,36.2,150.4,150,53.5,
853.5,1004.6,26.7,36.2,151.8,150,49.5,
854.8,1004.6,26.7,36.2,149.8,150,53.3,
853.3,1004.6,26.7,36.2,151.3,150,53.8,
854.5,1004.6,26.8,36.2,150.1,150,53.8,
854.1,1004.6,26.7,36.2,150.4,150,49,
853.3,1004.6,26.7,36.2,151.2,150,54.5,
852.8,1004.6,26.7,36.2,151.7,150,51.8,
854.5,1004.6,26.7,36.1,150.1,150,53.5,
854.9,1004.6,26.7,36.1,151.5,150,49.5,
854.1,1004.6,26.8,36.1,150.4,150,55.3,
853.9,1004.6,26.7,36.1,150.7,150,53.8,
852.3,1004.6,26.7,36.1,152.2,150,47.5,
853.4,1004.6,26.7,36.1,149.8,150,53.8,
854.9,1004.6,26.7,36.1,149.7,150,50.8,
853.2,1004.6,26.7,36.1,151.3,150,50.5,
854.8,1004.6,26.7,36.1,149.8,150,53.5,
855.3,1004.6,26.7,36.1,149,150,55.5,
853.8,1004.6,26.7,36.1,150.8,150,49,
853.8,1004.6,26.7,36.1,150.8,150,51.5,
853.3,1004.6,26.7,36.1,151.3,150,49.5,
855.2,1004.6,26.7,36.1,150.5,150,51.3,
854.6,1004.6,26.7,36.1,150,150,51.8,
854.7,1004.6,26.8,36.1,149.9,150,53.8,
854,1004.6,26.7,36.1,150.6,150,50.8,
853.9,1004.6,26.7,36.1,148.7,150,56,
855,1004.6,26.7,36,149.6,150,53.5,
852.7,1004.6,26.7,36,151.9,150,54,
852.9,1004.6,26.7,36.1,151.7,150,48.3,
854.1,1004.6,26.7,36.1,150.2,150,52,
853.2,1004.6,26.7,36,151.4,150,48.8,
853.2,1004.6,26.7,36,151.4,150,53,
853.6,1004.6,26.7,36,151,150,49.8,
855.7,1004.6,26.7,36,148.9,150,54.5,
853.6,1004.6,26.8,36,151,150,48.8,
854,1004.6,26.8,36,150.6,150,51,
855.2,1004.6,26.7,36,149.4,150,53.8,
853.6,1004.6,26.8,36,151,150,52.8,
854.1,1004.6,26.7,36,150.5,150,49.3,
854.1,1004.6,26.8,36,150.5,150,51.3,
855.9,1004.6,26.8,36,148.7,150,55.3,
855.4,1004.6,26.7,36,149.2,150,54,
853.7,1004.6,26.7,36,150.9,150,55,
853.2,1004.6,26.7,36,151.4,150,54.3,
853,1004.6,26.7,36,151.6,150,48.3,
854.9,1004.6,26.7,36,149.7,150,48.8,
853.8,1004.6,26.7,36,150.8,150,53.8,
853.4,1004.6,26.7,36,151.2,150,48.5,
855,1004.6,26.7,36,149.6,150,53,
854.2,1004.6,26.7,35.9,150.4,150,52.5,
854.1,1004.6,26.7,35.9,150.5,150,54.3,
855.3,1004.6,26.7,35.9,149.3,150,48.8,
855.6,1004.6,26.7,36,149,150,54.8,
855.2,1004.6,26.7,35.9,149.4,150,49.3,
